E
989.0702366
2733.378253
2637.078588
2474.154559
2209.242972
4083.653853
1086.677816
3655.55268
2247.932729
1549.979233
1807.938713
1401.740728
1939.977872
1275.929224
3995.661458
1582.655825
2528.2507
2320.912754
1154.856139
1210.139467
748.0263121
3833.868464
677.0229017
991.8402288
2468.93183
2485.877205
2910.167027
1563.654379
1501.159332
2962.763581
2951.284412
1906.174319
3735.882594
897.8278148
2709.916449
4278.153402
2451.275841
4515.273193
3147.847564
765.5913466
1542.806499
1576.676604
1791.514773
2900.720522
2439.422794
2722.209522
3593.107101
2378.665083
3360.72274
3228.214636
1486.385635
1525.855768
3760.059953
3842.295218
1921.684214
3795.332902
2706.338854
3173.396567
3243.475603
5211.235866
3704.033561
4429.913206
1770.342843
2040.235181
3336.096491
3287.841021
3876.897236
4858.87906
2592.795041
1699.93388
4070.045563
3244.714179
2869.832795
3138.714897
2678.212137
